Vessel,Laycan From,Laycan To,Destination,Origin,Charterer
Nautilus,25-Apr-17,13-Jun-17,China,Galveston Light.,
Almi Horizon,25-Apr-17,8-Jun-17,China,Macae,
New Triumph,25-Apr-17,30-May-17,China,Clov,
Sea Fortune 1,25-Apr-17,17-Jul-17,China,Linggi Light.,
New Kassos,25-Apr-17,19-May-17,China,Mina Al Fahal,
Taqah,25-Apr-17,5-Jun-17,China,La Paloma Light.,
Csk Shelton,25-Apr-17,16-May-17,China,Kozmino,Trafigura
Lian Yun Hu,25-Apr-17,28-Apr-17,China,Qinzhou Light.,
Lian An Hu,25-Apr-17,29-Apr-17,China,Bohai Century,
Eagle Trenton,25-Apr-17,29-Apr-17,China,Yeosu Light.,
Radiant Star,24-Apr-17,13-May-17,China,Pelepas Light.,
Dht Leopard,24-Apr-17,13-Jun-17,China,Cap Lopez,Total
Kuban,24-Apr-17,9-May-17,China,Linggi Light.,Lukoil
Lian Sheng Hu,24-Apr-17,7-May-17,China,Qinzhou Light.,
Lian Sheng Hu,24-Apr-17,26-Apr-17,China,Qinzhou Light.,
Miltiadis Junior,24-Apr-17,14-Jun-17,China,Southwold Light.,UNIPEC
Polymnia I,24-Apr-17,7-Jun-17,China,Kome-Kribi,
Al Riqqa,24-Apr-17,24-May-17,China,Mina Al-Ahmadi,
Taqah,24-Apr-17,13-Jun-17,China,La Paloma Light.,
Taqah,24-Apr-17,5-Jun-17,China,La Paloma Light.,
Tian Long Zuo,24-Apr-17,29-Apr-17,China,Weng Chang,
Leicester,24-Apr-17,3-Jul-17,China,Covenas,UNIPEC
Leicester,24-Apr-17,30-Jun-17,China,Covenas,UNIPEC
Overseas Everest,24-Apr-17,5-Jun-17,China,Kizomba A,UNIPEC
Yuan Yue Hu,24-Apr-17,15-May-17,China,Kharg Island,
Dubai Glamour,24-Apr-17,3-May-17,China,Kozmino,Chemchina
Dan,23-Apr-17,18-May-17,China,Kharg Island,
Nave Electron,23-Apr-17,16-Jun-17,China,Southwold Light.,UNIPEC
Marina,23-Apr-17,22-Jun-17,China,La Paloma Light.,
Sakhalin Island,23-Apr-17,1-May-17,China,Sakhalin II,
Ling Yang Zuo,23-Apr-17,24-Apr-17,China,Aoshan,
Takamine,23-Apr-17,9-May-17,China,Mina Al Fahal,
Landbridge Prosperity,23-Apr-17,16-May-17,China,Juaymah,PetroChina
Landbridge Prosperity,23-Apr-17,15-May-17,China,Juaymah,PetroChina
Landbridge Prosperity,23-Apr-17,14-May-17,China,Juaymah,PetroChina
Landbridge Prosperity,23-Apr-17,12-May-17,China,Juaymah,PetroChina
New Vigorous,23-Apr-17,18-May-17,China,Ras Tanura,
Dht Lotus,23-Apr-17,13-Jun-17,China,PSVM,Sinochem Group
Hirado,23-Apr-17,19-Jun-17,China,Southwest Light.,
Yang Mei Hu,23-Apr-17,7-May-17,China,Kozmino,Chemchina
Yang Mei Hu,23-Apr-17,29-Apr-17,China,Kozmino,Chemchina
Tinat,23-Apr-17,13-Jun-17,China,La Paloma Light.,
Miltiadis Junior,22-Apr-17,14-Jun-17,China,Southwold Light.,UNIPEC
Pantanassa,22-Apr-17,17-Jun-17,China,Hound Point,
Nautilus,22-Apr-17,18-Jun-17,China,Galveston Light.,
Nautilus,22-Apr-17,13-Jun-17,China,Galveston Light.,
Brightoil Galaxy,22-Apr-17,16-May-17,China,Ras Tanura,PetroChina
London Spirit,22-Apr-17,27-May-17,China,Marsa al Hariga,
Long Hu San,22-Apr-17,7-Jun-17,China,Sendje Ceiba,UNIPEC
Nave Electron,22-Apr-17,30-Jun-17,China,Southwold Light.,UNIPEC
Nave Electron,22-Apr-17,16-Jun-17,China,Southwold Light.,UNIPEC
Tian Hong Zuo,22-Apr-17,7-May-17,China,Dalian,
New Accord,22-Apr-17,28-Apr-17,China,Kozmino,UNIPEC
Fei Ma Zuo,22-Apr-17,25-Apr-17,China,HYSY112,
New Triumph,21-Apr-17,30-May-17,China,Oguendjo,
Miltiadis Junior,21-Apr-17,14-Jun-17,China,Southwold Light.,UNIPEC
Asian Progress V,21-Apr-17,10-May-17,China,Juaymah,UNIPEC
Ds Venture,21-Apr-17,24-May-17,China,Djeno,
Ds Venture,21-Apr-17,23-May-17,China,Djeno,
New Coral,21-Apr-17,11-May-17,China,Mina Al Fahal,
Xin An Yang,21-Apr-17,13-May-17,China,Kharg Island,
Xin Tong Zhou,21-Apr-17,25-Apr-17,China,Dongying,
Yong Xing Zhou,21-Apr-17,28-Apr-17,China,Dalian,
New Diamond,21-Apr-17,11-May-17,China,Tanjung Bruas Light.,
New Diamond,21-Apr-17,4-May-17,China,Tanjung Bruas Light.,
Anafi Warrior,21-Apr-17,6-May-17,China,Kozmino,NPI
Hirado,21-Apr-17,26-Jun-17,China,Southwest Light.,
Hirado,21-Apr-17,19-Jun-17,China,Southwest Light.,
Nave Electron,21-Apr-17,30-Jun-17,China,Southwold Light.,UNIPEC
Feng Huang Zhou,21-Apr-17,12-May-17,China,Panyu,
Jin Niu Zuo,21-Apr-17,23-Apr-17,China,Mercuria Storage,
Xin Pu Yang,21-Apr-17,23-May-17,China,Al Basrah,
Xin Pu Yang,21-Apr-17,17-May-17,China,Al Basrah,
Overseas Rosalyn,21-Apr-17,8-Jun-17,China,Jose Terminal,
Miltiadis Junior,20-Apr-17,14-Jun-17,China,Southwold Light.,UNIPEC
New Achievement,20-Apr-17,7-Jun-17,China,Jose Terminal,PetroChina
New Pioneer,20-Apr-17,23-May-17,China,Kizomba B,UNIPEC
Island Splendor,20-Apr-17,26-May-17,China,Malongo,Sinochem Group
New Globe,20-Apr-17,18-May-17,China,Al Basrah,Sinochem Group
Adventure,20-Apr-17,26-May-17,China,Kizomba C Saxi,UNIPEC
Sea Ruby,20-Apr-17,10-May-17,China,Juaymah,Sinochem Group
Formosapetro Challenger,19-Apr-17,30-Apr-17,China,Linggi Light.,Eni
New Dragon,19-Apr-17,9-May-17,China,Juaymah,
Guang Xing Zhou,19-Apr-17,30-Apr-17,China,Dalian,
Lian Sheng Hu,19-Apr-17,20-Apr-17,China,Qinzhou Light.,
Nautilus,19-Apr-17,18-Jun-17,China,Galveston Light.,
Lian An Hu,19-Apr-17,20-Apr-17,China,Bohai Century,
Th Symphony,19-Apr-17,29-Apr-17,China,Kozmino,CNOOC
Olympic Future,19-Apr-17,4-Jun-17,China,Zueitina,UNIPEC
Olympic Future,19-Apr-17,3-Jun-17,China,Zueitina,UNIPEC
Yuan Yue Hu,18-Apr-17,15-May-17,China,Sirri,
Jing Gang San,18-Apr-17,19-May-17,China,Mina Al Fahal,UNIPEC
Jing Gang San,18-Apr-17,14-May-17,China,Mina Al Fahal,UNIPEC
Liu Lin Wan,18-Apr-17,23-Apr-17,China,Dalian,
Long Hu San,18-Apr-17,7-Jun-17,China,PSVM,UNIPEC
San Ding Chang Chun,18-Apr-17,3-May-17,China,Weng Chang,
San Ding Chang Chun,18-Apr-17,23-Apr-17,China,Weng Chang,
Lian An Hu,18-Apr-17,20-Apr-17,China,Bohai Century,
Hirado,18-Apr-17,26-Jun-17,China,Southwest Light.,
Yang Lin Wan,18-Apr-17,25-Apr-17,China,Bohai Pengbo,
Bei Hai Ming Wang,18-Apr-17,20-Apr-17,China,Xinxijiang,
Agios Gerasimos,18-Apr-17,13-May-17,China,Bashair,
Lian Sheng Hu,18-Apr-17,18-Apr-17,China,Qinzhou Light.,
Syros Warrior,17-Apr-17,11-May-17,China,Kozmino,UNIPEC
New Pioneer,17-Apr-17,30-May-17,China,Dalia,UNIPEC
New Pioneer,17-Apr-17,23-May-17,China,Dalia,UNIPEC
Athenian Harmony,17-Apr-17,19-May-17,China,Jubilee Light.,UNIPEC
Khuzama,17-Apr-17,29-Apr-17,China,Nipah Light.,
New Dragon,17-Apr-17,9-May-17,China,Juaymah,
Overseas Tanabe,17-Apr-17,7-Jun-17,China,Galveston Light.,
Sophie Schulte,16-Apr-17,29-Apr-17,China,Kozmino,Chemchina
Umm Al Aish,16-Apr-17,9-May-17,China,Mina Al-Ahmadi,
Umm Al Aish,16-Apr-17,6-May-17,China,Mina Al-Ahmadi,
Adventure,16-Apr-17,26-May-17,China,Kizomba C Mondo,UNIPEC
Ds Venture,16-Apr-17,24-May-17,China,Djeno,
Maran Penelope,16-Apr-17,19-Jul-17,China,Flint Hills Ingleside,
Chryssi,16-Apr-17,6-May-17,China,Mina Al Fahal,UNIPEC
Chryssi,16-Apr-17,3-May-17,China,Mina Al Fahal,UNIPEC
Hirado,16-Apr-17,26-Jun-17,China,Southwest Light.,
Shi Zi Zuo,16-Apr-17,19-Apr-17,China,Aoshan,
Koho I,15-Apr-17,10-May-17,China,Juaymah,Sinochem Group
Svet,15-Apr-17,10-May-17,China,Al Basrah,
Svet,15-Apr-17,9-May-17,China,Al Basrah,
Svet,15-Apr-17,8-May-17,China,Al Basrah,
Svet,15-Apr-17,7-May-17,China,Al Basrah,
Svet,15-Apr-17,6-May-17,China,Al Basrah,
Brightoil Lucky,15-Apr-17,25-Apr-17,China,Pelepas Light.,
Nordic Hunter,15-Apr-17,19-May-17,China,Sidi Kerir,
Nordic Hunter,15-Apr-17,17-May-17,China,Sidi Kerir,
Al Yarmouk,15-Apr-17,6-May-17,China,Mina Al-Ahmadi,
Gener8 Success,15-Apr-17,5-Jun-17,China,Castries,
Hs Medea,14-Apr-17,19-Apr-17,China,Kozmino,
Eliza,14-Apr-17,20-May-17,China,Greater Plutonio,UNIPEC
Oceanis,14-Apr-17,29-May-17,China,Massongo,UNIPEC
Cospearl Lake,14-Apr-17,8-May-17,China,Mina Al Fahal,
Jiu Hua San,14-Apr-17,22-May-17,China,Clov,UNIPEC
Taga,14-Apr-17,16-May-17,China,Ras Tanura,Sinochem Group
Taga,14-Apr-17,5-May-17,China,Ras Tanura,Sinochem Group
Athenian Harmony,14-Apr-17,23-May-17,China,Jubilee Light.,UNIPEC
Athenian Harmony,14-Apr-17,19-May-17,China,Jubilee Light.,UNIPEC
Lian Sheng Hu,14-Apr-17,17-Apr-17,China,Qinzhou Light.,
Brightoil Lion,14-Apr-17,25-Apr-17,China,UT,
Brightoil Lion,14-Apr-17,20-Apr-17,China,UT,
Xin Xia Yang,14-Apr-17,2-May-17,China,Kharg Island,
Kymolos,14-Apr-17,26-May-17,China,Kizomba B,BP
Ocean Pegasus,14-Apr-17,18-Apr-17,China,Kozmino,Chemchina
Brightoil Lucky,13-Apr-17,25-Apr-17,China,Pelepas Light.,
Ioanna,13-Apr-17,22-May-17,China,Malongo,Total
Ds Vision,13-Apr-17,5-May-17,China,Juaymah,
Baltic Glory,13-Apr-17,16-Jun-17,China,Hound Point,Shell
Xin Tong Zhou,13-Apr-17,14-Apr-17,China,Dalian,
Sentosa River,13-Apr-17,20-Apr-17,China,Kozmino,Lukoil
Feng Huang Zuo,13-Apr-17,28-Apr-17,China,Bohai Youyi,
Island Splendor,13-Apr-17,2-Jun-17,China,Zafiro,Sinochem Group
Island Splendor,13-Apr-17,26-May-17,China,Zafiro,Sinochem Group
Silia T,12-Apr-17,20-May-17,China,Sheskharis,
Tian Ying Zuo,12-Apr-17,29-Apr-17,China,Dalian,
Overseas Tanabe,12-Apr-17,7-Jun-17,China,Galveston Light.,
Yu Lin Wan,12-Apr-17,14-Apr-17,China,Dalian,
Jiu Hua San,12-Apr-17,22-May-17,China,PSVM,UNIPEC
Al Salmi,12-Apr-17,7-May-17,China,Mina Al-Ahmadi,
Devon,11-Apr-17,27-May-17,China,Kharg Island,
Devon,11-Apr-17,19-May-17,China,Kharg Island,
Kythira Warrior,11-Apr-17,22-Apr-17,China,Kozmino,
Kythira Warrior,11-Apr-17,16-Apr-17,China,Kozmino,
Daniel,11-Apr-17,3-May-17,China,Soroosh,
Energy R,11-Apr-17,3-Jun-17,China,Jose Terminal,
Eliza,11-Apr-17,20-May-17,China,Kizomba A,UNIPEC
Fei Ma Zuo,11-Apr-17,19-Apr-17,China,Weng Chang,
Feng Huang Zhou,11-Apr-17,13-Apr-17,China,Xinxijiang,
Overseas Tanabe,11-Apr-17,11-Jun-17,China,Galveston Light.,
Overseas Tanabe,11-Apr-17,7-Jun-17,China,Galveston Light.,
Cosgrand Lake,11-Apr-17,16-May-17,China,N'Goma,
Xin Shen Yang,11-Apr-17,6-May-17,China,Kharg Island,
Yong Xing Zhou,11-Apr-17,13-Apr-17,China,Dalian,
Desh Vibhor,11-Apr-17,3-May-17,China,Al Basrah,Sinochem Group
Evgenia I,10-Apr-17,4-Jun-17,China,Angra dos Reis,Petrobras
Evgenia I,10-Apr-17,30-May-17,China,Angra dos Reis,Petrobras
Ridgebury Pioneer,10-Apr-17,5-May-17,China,Juaymah,UNIPEC
Otowasan,10-Apr-17,1-Jun-17,China,Southwold Light.,Glencore
New Century,10-Apr-17,29-May-17,China,Pazflor,Shell
New Century,10-Apr-17,12-Apr-17,China,Pazflor,Shell
Formosapetro Challenger,10-Apr-17,3-May-17,China,Linggi Light.,Eni
Formosapetro Challenger,10-Apr-17,30-Apr-17,China,Linggi Light.,Eni
New Prospect,10-Apr-17,21-May-17,China,Djeno,UNIPEC
New Prospect,10-Apr-17,15-May-17,China,Djeno,UNIPEC
Nordic Discovery,10-Apr-17,24-Apr-17,China,Pelepas Light.,
Filikon,10-Apr-17,26-May-17,China,Bullenbay,
Daniel,10-Apr-17,21-May-17,China,Kharg Island,
Daniel,10-Apr-17,3-May-17,China,Kharg Island,
San Ding Chang Le,9-Apr-17,19-Apr-17,China,Dongying,
Good News,9-Apr-17,13-May-17,China,Malongo,Total
Madison Orca,9-Apr-17,1-May-17,China,Juaymah,UNIPEC
Elizabeth I.A.,9-Apr-17,27-Apr-17,China,Juaymah,UNIPEC
Etc Ramsis,9-Apr-17,16-Apr-17,China,Kozmino,Vitol
South Sea,9-Apr-17,8-May-17,China,Bashair,
Bei Hai Ming Wang,9-Apr-17,13-Apr-17,China,Bohai Pengbo,
Tian Long Zuo,9-Apr-17,17-Apr-17,China,Lufeng,
Sapporo Princess,9-Apr-17,26-Apr-17,China,Pyrenees,
Ds Commander,9-Apr-17,17-Jul-17,China,Dubai Light.,Koch S&T
Cosgreat Lake,9-Apr-17,30-Apr-17,China,Mina Al Fahal,
Esteem Brilliance,9-Apr-17,18-Apr-17,China,Kozmino,
Lian An Hu,9-Apr-17,10-Apr-17,China,Bohai Century,
Delta Tolmi,9-Apr-17,3-Jun-17,China,NTL Terminal,
New Advance,8-Apr-17,19-May-17,China,Gamba,
Otowasan,8-Apr-17,1-Jun-17,China,Southwold Light.,Glencore
Ds Vision,8-Apr-17,5-May-17,China,Ras Tanura,
Gener8 Success,8-Apr-17,5-Jun-17,China,St Eustatius,
Tamagawa,8-Apr-17,1-Jun-17,China,Hound Point,
Ebn Batuta,8-Apr-17,30-Apr-17,China,Rang Dong,
Ebn Batuta,8-Apr-17,21-Apr-17,China,Rang Dong,
New Karpathos,8-Apr-17,3-May-17,China,Juaymah,UNIPEC
Sonangol Namibe,8-Apr-17,29-May-17,China,NTL Terminal,
Bei Hai Wei Wang,7-Apr-17,13-Apr-17,China,HYSY112,
Ling Yang Zuo,7-Apr-17,8-Apr-17,China,Aoshan,
Brightoil Grace,7-Apr-17,13-May-17,China,Dalia,UNIPEC
Maria,7-Apr-17,24-Apr-17,China,Linggi Light.,
Ottoman Nobility,7-Apr-17,17-May-17,China,Teesside,
Brightoil Legend,7-Apr-17,15-Apr-17,China,Kozmino,SPC
Adventure,7-Apr-17,30-May-17,China,Kizomba C Saxi,UNIPEC
Adventure,7-Apr-17,26-May-17,China,Kizomba C Saxi,UNIPEC
Marbella,7-Apr-17,25-Apr-17,China,Mina Al Fahal,UNIPEC
New Century,7-Apr-17,29-May-17,China,Clov,Shell
New Prospect,7-Apr-17,21-May-17,China,Djeno,UNIPEC
Lian Xing Hu,7-Apr-17,7-Apr-17,China,Beibu II,
Lian Sheng Hu,7-Apr-17,9-Apr-17,China,Petrochina Qinzhou,
Pacific Glory,7-Apr-17,17-Apr-17,China,Horizon SGP,
San Ding Chang Chun,7-Apr-17,11-Apr-17,China,Huizhou,
Kymolos,7-Apr-17,26-May-17,China,PSVM,BP
Cape Troy,7-Apr-17,17-May-17,China,Linggi Light.,
Tinat,6-Apr-17,13-Jun-17,China,La Paloma Light.,
Gener8 Atlas,6-Apr-17,25-May-17,China,Jose Terminal,
Delta Harmony,6-Apr-17,15-May-17,China,Angra dos Reis,
Delta Millennium,6-Apr-17,23-May-17,China,Western Africa,UNIPEC
Hydra Voyager,6-Apr-17,17-May-17,China,Pacific Terminal,
Hydra Voyager,6-Apr-17,9-May-17,China,Pacific Terminal,
Rbd Anema E Core,6-Apr-17,12-Apr-17,China,UT,
Marina M,6-Apr-17,15-May-17,China,Kome-Kribi,UNIPEC
Marina M,6-Apr-17,12-May-17,China,Kome-Kribi,UNIPEC
Silverway,6-Apr-17,10-Jun-17,China,Santos Light.,Repsol
New Accord,6-Apr-17,13-Apr-17,China,Kozmino,
New Horizon,5-Apr-17,28-Apr-17,China,Al Basrah,Sinochem Group
Tian Hong Zuo,5-Apr-17,18-Apr-17,China,Tianjin,
Th Symphony,5-Apr-17,10-Apr-17,China,Kozmino,Sinochem Group
Dht Puma,4-Apr-17,14-May-17,China,Malongo,
Dht Puma,4-Apr-17,14-May-17,China,Malongo,
Tinat,4-Apr-17,13-Jun-17,China,La Paloma Light.,
Gener8 Supreme,4-Apr-17,16-May-17,China,La Paloma Light.,Shell
Feng Huang Zuo,4-Apr-17,7-Apr-17,China,Dalian,
Pacific Glory,4-Apr-17,17-Apr-17,China,UT,
Dolviken,3-Apr-17,11-May-17,China,Cap Lopez,
Sea Splendor,3-Apr-17,24-Apr-17,China,Mina Al Fahal,
Sea Splendor,3-Apr-17,22-Apr-17,China,Mina Al Fahal,
Leonidas,3-Apr-17,9-May-17,China,Dalia,PetroIneos
Ti Europe,3-Apr-17,3-Aug-17,China,Fujairah Light.,
Yang Lin Wan,3-Apr-17,11-Apr-17,China,Weng Chang,
Yang Mei Hu,3-Apr-17,8-Apr-17,China,Kozmino,
New Constant,3-Apr-17,23-Apr-17,China,ADCOP Fujairah,
New Award,3-Apr-17,9-Apr-17,China,Yeosu Light.,
Lian Sheng Hu,3-Apr-17,6-Apr-17,China,Qinzhou Light.,
Mare Doricum,2-Apr-17,21-May-17,China,Bullenbay,
Marina M,2-Apr-17,15-May-17,China,Kizomba B,UNIPEC
Apollonia,2-Apr-17,15-May-17,China,Angra dos Reis,
Bei Hai Zhan Wang,2-Apr-17,9-Apr-17,China,Panyu,
Ti Hellas,2-Apr-17,26-Jun-17,China,Juaymah,
Dong Ting Hu,2-Apr-17,8-Apr-17,China,Bohai Century,
Al Derwazah,2-Apr-17,18-Apr-17,China,Mina Al-Ahmadi,
Cosgrand Lake,2-Apr-17,16-May-17,China,Djeno,
Pacific Singapore,1-Apr-17,6-Apr-17,China,Kozmino,Sinochem Group
Lian Yun Hu,1-Apr-17,7-Apr-17,China,Qinzhou Light.,
San Saba,1-Apr-17,24-May-17,China,Frederikshavn Light.,
Leonidas,1-Apr-17,9-May-17,China,Pazflor,PetroIneos
Lu San,1-Apr-17,25-Apr-17,China,Mina Al Fahal,PetroChina
Lu San,1-Apr-17,24-Apr-17,China,Mina Al Fahal,PetroChina
Lu San,1-Apr-17,18-Apr-17,China,Mina Al Fahal,PetroChina
Good News,1-Apr-17,13-May-17,China,Cap Lopez,Total
Xin Tong Zhou,1-Apr-17,5-Apr-17,China,Mercuria Storage,
Gener8 Success,31-Mar-17,5-Jun-17,China,Southwest Light.,
Brightoil Grace,31-Mar-17,13-May-17,China,Kizomba C Mondo,UNIPEC
Brightoil Glory,31-Mar-17,22-Apr-17,China,Juaymah,
Yuan Shan Hu,31-Mar-17,23-Apr-17,China,Mina Al Fahal,
Yuan Shan Hu,31-Mar-17,16-Apr-17,China,Mina Al Fahal,
Nave Synergy,31-Mar-17,4-May-17,China,Das Island,Total
New Constant,31-Mar-17,23-Apr-17,China,Zirku,
Feng Huang Zhou,31-Mar-17,7-Apr-17,China,Bohai Pengbo,
Overseas Kilimanjaro,31-Mar-17,2-May-17,China,Pacific Terminal,
Overseas Kilimanjaro,31-Mar-17,26-Apr-17,China,Pacific Terminal,
Cherokee,31-Mar-17,17-May-17,China,Jose Terminal,
New Vista,31-Mar-17,6-May-17,China,Malongo,Sinochem Group
Fei Ma Zuo,31-Mar-17,1-Apr-17,China,Xinxijiang,
Syros Warrior,31-Mar-17,5-Apr-17,China,Ruby,
Samco Europe,31-Mar-17,6-Jun-17,China,Hound Point,Shell
Samco Europe,31-Mar-17,23-May-17,China,Hound Point,Shell
Liu Lin Wan,31-Mar-17,9-Apr-17,China,Lufeng,
New Medal,30-Mar-17,3-May-17,China,Al Basrah,
New Medal,30-Mar-17,27-Apr-17,China,Al Basrah,
Al Funtas,30-Mar-17,18-Apr-17,China,Ras Tanura,
Hs Medea,30-Mar-17,4-Apr-17,China,Kozmino,
New Vista,30-Mar-17,6-May-17,China,PSVM,Sinochem Group
Formosapetro Challenger,30-Mar-17,3-May-17,China,Linggi Light.,Eni
Overseas Mckinley,30-Mar-17,20-May-17,China,Jose Terminal,
Dune,30-Mar-17,3-May-17,China,Lavan,
Dune,30-Mar-17,28-Apr-17,China,Lavan,
Shi Zi Zuo,30-Mar-17,1-Apr-17,China,Aoshan,
Ling Yang Zuo,30-Mar-17,2-Apr-17,China,Dongying,
Yong Xing Zhou,29-Mar-17,2-Apr-17,China,Rizhao,
New Aspire,29-Mar-17,1-May-17,China,Girassol,UNIPEC
Ocean Lily,29-Mar-17,8-May-17,China,Sendje Ceiba,UNIPEC
Dht Hawk,29-Mar-17,27-Apr-17,China,Al Basrah,Gunvor
Pacific Dubai,29-Mar-17,4-Apr-17,China,Kozmino,
Mesdar,29-Mar-17,20-Apr-17,China,Juaymah,UNIPEC
Kondor,29-Mar-17,10-May-17,China,Malongo,Koch S&T
Kondor,29-Mar-17,6-May-17,China,Malongo,Koch S&T
Tian Long Zuo,29-Mar-17,29-Mar-17,China,Aoshan,
Gener8 Supreme,28-Mar-17,24-May-17,China,La Paloma Light.,Shell
Gener8 Supreme,28-Mar-17,16-May-17,China,La Paloma Light.,Shell
Adafera,28-Mar-17,19-Apr-17,China,Seria,
Gener8 Success,28-Mar-17,10-Jun-17,China,Southwest Light.,
Gener8 Success,28-Mar-17,5-Jun-17,China,Southwest Light.,
Jag Lyall,28-Mar-17,4-Apr-17,China,UT,
Front Circassia,28-Mar-17,26-Apr-17,China,Mina Al Fahal,CNOOC
Front Circassia,28-Mar-17,19-Apr-17,China,Mina Al Fahal,CNOOC
Tian Ying Zuo,28-Mar-17,6-Apr-17,China,Dalian,
San Saba,28-Mar-17,24-May-17,China,Tallinn,
Nordic Sirius,28-Mar-17,9-Apr-17,China,Linggi Light.,
Ocean Voyager,28-Mar-17,27-Apr-17,China,Bashair,
Cosflying Lake,27-Mar-17,19-May-17,China,Jose Terminal,
New Joviality,27-Mar-17,8-May-17,China,Malongo,UNIPEC
Yu Lin Wan,27-Mar-17,3-Apr-17,China,Rizhao,
Yuan Yang Hu,27-Mar-17,19-Apr-17,China,Kharg Island,
Spring Splendor,27-Mar-17,5-May-17,China,Bonny,UNIPEC
Spring Splendor,27-Mar-17,1-May-17,China,Bonny,UNIPEC
Sea Hymn,27-Mar-17,10-Apr-17,China,Chevron Dumai,
Ephesos,27-Mar-17,13-May-17,China,Aruba Light.,Total
Adafera,27-Mar-17,19-Apr-17,China,Seria,
New Aspire,26-Mar-17,7-May-17,China,Kizomba B,UNIPEC
New Aspire,26-Mar-17,1-May-17,China,Kizomba B,UNIPEC
Shenlong Spirit,26-Mar-17,1-May-17,China,Marsa al Hariga,
Fei Ma Zuo,26-Mar-17,27-Mar-17,China,Weng Chang,
Aquarius Voyager,26-Mar-17,19-May-17,China,Santos,
Bei Hai Ming Wang,26-Mar-17,2-Apr-17,China,Weng Chang,
Ocean Lily,26-Mar-17,8-May-17,China,N'Goma,UNIPEC
New Paradise,26-Mar-17,20-Apr-17,China,Ras Tanura,
Sea Leopard,26-Mar-17,27-Apr-17,China,Greater Plutonio,UNIPEC
Xin Dan Yang,26-Mar-17,23-Apr-17,China,Juaymah,
Xin Dan Yang,26-Mar-17,22-Apr-17,China,Juaymah,
Xin Dan Yang,26-Mar-17,21-Apr-17,China,Juaymah,
Xin Dan Yang,26-Mar-17,19-Apr-17,China,Juaymah,
Demetrios,26-Mar-17,1-May-17,China,Es Sider,
New Joviality,25-Mar-17,8-May-17,China,PSVM,UNIPEC
Hong Kong Spirit,25-Mar-17,19-Apr-17,China,Juaymah,
Brightoil Lion,25-Mar-17,31-Mar-17,China,UT,
Zumbi Dos Palmares,25-Mar-17,10-May-17,China,Macae,
Csk Vanguard,25-Mar-17,5-Apr-17,China,Van Gogh,
C. Infinity,25-Mar-17,23-May-17,China,Frederikshavn Light.,
Sea Horizon,25-Mar-17,22-Apr-17,China,Mina Al Fahal,Glencore
Sea Horizon,25-Mar-17,16-Apr-17,China,Mina Al Fahal,Glencore
Kondor,25-Mar-17,10-May-17,China,Oguendjo,Koch S&T
Lian An Hu,25-Mar-17,29-Mar-17,China,Bohai Century,
Demetrios,25-Mar-17,1-May-17,China,Es Sider,
Gener8 Ethos,25-Mar-17,9-Apr-17,China,Tanjung Bruas Light.,
Almi Spirit,25-Mar-17,8-Apr-17,China,Pelepas Light.,Petronas
Silver Bridge,24-Mar-17,14-Apr-17,China,UT,
Dht Lion,24-Mar-17,20-May-17,China,Hound Point,
Dht Lion,24-Mar-17,14-May-17,China,Hound Point,
Aframax Riviera,24-Mar-17,30-Mar-17,China,Kozmino,
Maran Artemis,24-Mar-17,7-May-17,China,La Paloma Light.,Shell
British Curlew,24-Mar-17,28-Mar-17,China,Kozmino,
Eurohope,24-Mar-17,2-May-17,China,Sidi Kerir,
Eurohope,24-Mar-17,24-Apr-17,China,Sidi Kerir,
Banda Sea,24-Mar-17,12-Apr-17,China,Pyrenees,
New Voyage,24-Mar-17,24-Apr-17,China,Al Basrah,
New Voyage,24-Mar-17,19-Apr-17,China,Al Basrah,
New Spirit,24-Mar-17,16-Apr-17,China,Kharg Island,
Gener8 Nautilus,24-Mar-17,16-Apr-17,China,Zirku,
Shi Zi Zuo,24-Mar-17,25-Mar-17,China,Aoshan,
C. Infinity,23-Mar-17,23-May-17,China,Frederikshavn Light.,
Suez Rajan,23-Mar-17,9-Apr-17,China,Linggi Light.,
Ephesos,23-Mar-17,20-May-17,China,Covenas,Total
Ephesos,23-Mar-17,13-May-17,China,Covenas,Total
Amber,23-Mar-17,11-Apr-17,China,Soroosh,
Atromitos,23-Mar-17,3-May-17,China,Kizomba C Saxi,Chemchina
Atromitos,23-Mar-17,30-Apr-17,China,Kizomba C Saxi,Chemchina
Peak Spirit,23-Mar-17,17-Apr-17,China,Bunga Kekwa,
Maran Artemis,23-Mar-17,12-May-17,China,La Paloma Light.,Shell
Maran Artemis,23-Mar-17,7-May-17,China,La Paloma Light.,Shell
Almi Spirit,23-Mar-17,8-Apr-17,China,Pelepas Light.,Petronas
Shanghai,23-Mar-17,10-May-17,China,Angra dos Reis,
Shanghai,23-Mar-17,6-May-17,China,Angra dos Reis,
Liu Lin Wan,23-Mar-17,26-Mar-17,China,Beibu II,
Bei Hai Zhan Wang,23-Mar-17,26-Mar-17,China,Xinxijiang,
Bei Hai Wei Wang,23-Mar-17,30-Mar-17,China,Panyu,
Kythira Warrior,23-Mar-17,31-Mar-17,China,Kozmino,
Gener8 Spartiate,23-Mar-17,27-Apr-17,China,Sheskharis,
Maersk Hayama,23-Mar-17,29-Apr-17,China,Jubilee Light.,UNIPEC
Xin Tong Zhou,23-Mar-17,27-Mar-17,China,Lufeng,
